id,year,area_title,industry_title,industry_emplvl,total_emplvl,industry_emp_pct,industry_emp_pct_us,region
Maine 11,1990,Maine,"Agriculture, forestry, fishing and hunting",6628,524997,0.012624834046670743,0.010081339957142024,Northeast
Maine 21,1990,Maine,"Mining, quarrying, and oil and gas extraction",154,524997,2.933350095333878e-4,0.006107069487153181,Northeast
Maine 22,1990,Maine,Utilities,5669,524997,0.010798156941849192,0.009209375380671842,Northeast
Maine 23,1990,Maine,Construction,30251,524997,0.05762128164541892,0.049639363954906875,Northeast
Maine 31-33,1990,Maine,Manufacturing,101975,524997,0.19423920517641052,0.1650793442794685,Northeast
Maine 42,1990,Maine,Wholesale trade,18321,524997,0.03489734227052726,0.04771221009260455,Northeast
Maine 44-45,1990,Maine,Retail trade,76433,524997,0.14558749859523007,0.1242573250465966,Northeast
Maine 48-49,1990,Maine,Transportation and warehousing,17297,524997,0.03294685493440915,0.039290996768313484,Northeast
Maine 51,1990,Maine,Information,10626,524997,0.02024011565780376,0.0267274287463636,Northeast
Maine 52,1990,Maine,Finance and insurance,21318,524997,0.040605946319693255,0.04705542834509937,Northeast
Maine 53,1990,Maine,Real estate and rental and leasing,5252,524997,0.01000386668876203,0.01649028834858472,Northeast
Maine 54,1990,Maine,Professional and technical services,15916,524997,0.03031636371255455,0.0459936778766959,Northeast
Maine 55,1990,Maine,Management of companies and enterprises,2695,524997,0.005133362666834286,0.009481056257873937,Northeast
